sepal length (cm),petal length (cm),target,target_name
6.3,5.6,2,virginica
5.1,1.4,0,setosa
5.8,5.1,2,virginica
5.2,3.9,1,versicolor
4.6,1.4,0,setosa
5.2,1.5,0,setosa
5.7,1.5,0,setosa
6.4,5.5,2,virginica
4.8,1.6,0,setosa
4.9,1.5,0,setosa
6.5,4.6,1,versicolor
4.9,1.5,0,setosa
5.1,3.0,1,versicolor
6.0,4.0,1,versicolor
6.4,5.6,2,virginica
5.9,5.1,2,virginica
5.5,1.4,0,setosa
5.0,1.4,0,setosa
7.1,5.9,2,virginica
5.1,1.9,0,setosa
5.8,5.1,2,virginica
5.3,1.5,0,setosa
4.8,1.9,0,setosa
7.9,6.4,2,virginica
4.9,1.4,0,setosa
6.6,4.6,1,versicolor
6.2,4.8,2,virginica
5.5,4.0,1,versicolor
4.3,1.1,0,setosa
5.5,4.4,1,versicolor
4.8,1.4,0,setosa
6.7,5.7,2,virginica
5.5,3.8,1,versicolor
7.7,6.1,2,virginica
6.2,4.3,1,versicolor
5.0,1.6,0,setosa
5.7,5.0,2,virginica
5.1,1.5,0,setosa
6.4,5.3,2,virginica
4.7,1.6,0,setosa
5.6,3.6,1,versicolor
5.7,3.5,1,versicolor
5.4,1.3,0,setosa
6.9,5.4,2,virginica
5.5,3.7,1,versicolor
6.6,4.4,1,versicolor
5.5,1.3,0,setosa
5.8,5.1,2,virginica
5.9,4.8,1,versicolor
7.7,6.7,2,virginica
5.0,1.3,0,setosa
5.8,4.0,1,versicolor
4.4,1.4,0,setosa
6.3,6.0,2,virginica
6.4,4.3,1,versicolor
6.1,4.0,1,versicolor
6.0,5.1,1,versicolor
6.1,4.7,1,versicolor
6.3,4.4,1,versicolor
6.7,4.4,1,versicolor
5.6,4.9,2,virginica
6.8,4.8,1,versicolor
7.4,6.1,2,virginica
6.3,4.9,2,virginica
5.0,1.6,0,setosa
6.5,5.1,2,virginica
5.8,3.9,1,versicolor
6.9,4.9,1,versicolor
6.8,5.5,2,virginica
4.6,1.5,0,setosa
7.7,6.9,2,virginica
7.2,5.8,2,virginica
7.6,6.6,2,virginica
5.1,1.6,0,setosa
6.0,5.0,2,virginica
4.8,1.6,0,setosa
5.0,1.6,0,setosa
7.2,6.1,2,virginica
6.3,5.6,2,virginica
6.3,5.0,2,virginica
5.2,1.5,0,setosa
7.0,4.7,1,versicolor
6.9,5.7,2,virginica
7.2,6.0,2,virginica
5.4,1.5,0,setosa
6.3,4.9,1,versicolor
6.1,4.6,1,versicolor
6.2,4.5,1,versicolor
5.7,4.2,1,versicolor
5.9,4.2,1,versicolor
5.1,1.4,0,setosa
6.7,5.7,2,virginica
5.6,4.2,1,versicolor
6.8,5.9,2,virginica
5.4,1.7,0,setosa
5.0,1.4,0,setosa
6.7,4.7,1,versicolor
4.8,1.4,0,setosa
5.0,3.5,1,versicolor
4.6,1.4,0,setosa
